"data","x","Function"
0,0,"profmem()"
0.0426564,1000,"profmem()"
0.095236872,1500,"profmem()"
0.168974872,2000,"profmem()"
0.263729504,2500,"profmem()"
0.379467256,3000,"profmem()"
0.516205336,3500,"profmem()"
0.673943256,4000,"profmem()"
0.85271432,4500,"profmem()"
1.052452272,5000,"profmem()"
1.273190152,5500,"profmem()"
1.514928224,6000,"profmem()"
1.777666272,6500,"profmem()"
2.061404272,7000,"profmem()"
2.366142248,7500,"profmem()"
2.691880032,8000,"profmem()"
3.03868364,8500,"profmem()"
3.406421544,9000,"profmem()"
3.795159384,9500,"profmem()"
4.204897856,10000,"profmem()"
0,0,"Rprof()"
0.0465,1000,"Rprof()"
0.0935,1500,"Rprof()"
0.1731,2000,"Rprof()"
0.2564,2500,"Rprof()"
0.3326,3000,"Rprof()"
0.4928,3500,"Rprof()"
0.6429,4000,"Rprof()"
0.796,4500,"Rprof()"
1.0128,5000,"Rprof()"
1.2244,5500,"Rprof()"
1.425,6000,"Rprof()"
1.6879,6500,"Rprof()"
1.9408,7000,"Rprof()"
2.216,7500,"Rprof()"
2.6346,8000,"Rprof()"
2.9577,8500,"Rprof()"
3.3045,9000,"Rprof()"
3.6725,9500,"Rprof()"
4.0444,10000,"Rprof()"
